,Date,Volatility,PeriodStart,PeriodEnd,DataPointsUsed,DatesUsed
1002,1993-12-16,0.00324043150202307,1993-12-16,1993-12-21,4,"1993-12-16,1993-12-17,1993-12-20,1993-12-21"
1003,1993-12-17,0.003473496727450917,1993-12-17,1993-12-22,4,"1993-12-17,1993-12-20,1993-12-21,1993-12-22"
1004,1993-12-20,0.0024520736893070454,1993-12-20,1993-12-23,4,"1993-12-20,1993-12-21,1993-12-22,1993-12-23"
1005,1993-12-21,0.0032363580500544965,1993-12-21,1993-12-27,4,"1993-12-21,1993-12-22,1993-12-23,1993-12-27"
1006,1993-12-22,0.0027553586750495877,1993-12-22,1993-12-28,4,"1993-12-22,1993-12-23,1993-12-27,1993-12-28"
1007,1993-12-23,0.002914265477951198,1993-12-23,1993-12-29,4,"1993-12-23,1993-12-27,1993-12-28,1993-12-29"
1008,1993-12-27,0.003913328006307837,1993-12-27,1993-12-30,4,"1993-12-27,1993-12-28,1993-12-29,1993-12-30"
1009,1993-12-28,0.0022849341829986546,1993-12-28,1993-12-31,4,"1993-12-28,1993-12-29,1993-12-30,1993-12-31"
1010,1993-12-29,0.0016024853604871192,1993-12-29,1994-01-03,4,"1993-12-29,1993-12-30,1993-12-31,1994-01-03"
1011,1993-12-30,0.0030875703829294334,1993-12-30,1994-01-04,4,"1993-12-30,1993-12-31,1994-01-03,1994-01-04"
1012,1993-12-31,0.0030685052567584335,1993-12-31,1994-01-05,4,"1993-12-31,1994-01-03,1994-01-04,1994-01-05"
1013,1994-01-03,0.0020843163257185256,1994-01-03,1994-01-06,4,"1994-01-03,1994-01-04,1994-01-05,1994-01-06"
1014,1994-01-04,0.0025288389778588146,1994-01-04,1994-01-07,4,"1994-01-04,1994-01-05,1994-01-06,1994-01-07"
1015,1994-01-05,0.004722095366577326,1994-01-05,1994-01-10,4,"1994-01-05,1994-01-06,1994-01-07,1994-01-10"
1016,1994-01-06,0.005556653778982523,1994-01-06,1994-01-11,4,"1994-01-06,1994-01-07,1994-01-10,1994-01-11"
1017,1994-01-07,0.005369437492604397,1994-01-07,1994-01-12,4,"1994-01-07,1994-01-10,1994-01-11,1994-01-12"
1018,1994-01-10,0.005949188748578771,1994-01-10,1994-01-13,4,"1994-01-10,1994-01-11,1994-01-12,1994-01-13"
1019,1994-01-11,0.003334301184689997,1994-01-11,1994-01-14,4,"1994-01-11,1994-01-12,1994-01-13,1994-01-14"
1020,1994-01-12,0.0035202344189292855,1994-01-12,1994-01-17,4,"1994-01-12,1994-01-13,1994-01-14,1994-01-17"
1021,1994-01-13,0.0036873782292022412,1994-01-13,1994-01-18,4,"1994-01-13,1994-01-14,1994-01-17,1994-01-18"
1022,1994-01-14,0.0030779360719165234,1994-01-14,1994-01-19,4,"1994-01-14,1994-01-17,1994-01-18,1994-01-19"
1023,1994-01-17,0.0020965819949407766,1994-01-17,1994-01-20,4,"1994-01-17,1994-01-18,1994-01-19,1994-01-20"
1024,1994-01-18,0.0010181917548256773,1994-01-18,1994-01-21,4,"1994-01-18,1994-01-19,1994-01-20,1994-01-21"
1025,1994-01-19,0.0027459589644676092,1994-01-19,1994-01-24,4,"1994-01-19,1994-01-20,1994-01-21,1994-01-24"
1026,1994-01-20,0.002652752891063168,1994-01-20,1994-01-25,4,"1994-01-20,1994-01-21,1994-01-24,1994-01-25"
1027,1994-01-21,0.0038334536943946023,1994-01-21,1994-01-26,4,"1994-01-21,1994-01-24,1994-01-25,1994-01-26"
1028,1994-01-24,0.005522509432532429,1994-01-24,1994-01-27,4,"1994-01-24,1994-01-25,1994-01-26,1994-01-27"
1029,1994-01-25,0.0037435057006108335,1994-01-25,1994-01-28,4,"1994-01-25,1994-01-26,1994-01-27,1994-01-28"
1030,1994-01-26,0.0017188254935614068,1994-01-26,1994-01-31,4,"1994-01-26,1994-01-27,1994-01-28,1994-01-31"
1031,1994-01-27,0.004637608907791452,1994-01-27,1994-02-01,4,"1994-01-27,1994-01-28,1994-01-31,1994-02-01"
1032,1994-01-28,0.003983165821941227,1994-01-28,1994-02-02,4,"1994-01-28,1994-01-31,1994-02-01,1994-02-02"
1033,1994-01-31,0.004486256681309214,1994-01-31,1994-02-03,4,"1994-01-31,1994-02-01,1994-02-02,1994-02-03"
1034,1994-02-01,0.010140616560297855,1994-02-01,1994-02-04,4,"1994-02-01,1994-02-02,1994-02-03,1994-02-04"
1035,1994-02-02,0.0111265910816002,1994-02-02,1994-02-07,4,"1994-02-02,1994-02-03,1994-02-04,1994-02-07"
1036,1994-02-03,0.010128481951241755,1994-02-03,1994-02-08,4,"1994-02-03,1994-02-04,1994-02-07,1994-02-08"
1037,1994-02-04,0.010927601570343812,1994-02-04,1994-02-09,4,"1994-02-04,1994-02-07,1994-02-08,1994-02-09"
1038,1994-02-07,0.004981399012722129,1994-02-07,1994-02-10,4,"1994-02-07,1994-02-08,1994-02-09,1994-02-10"
1039,1994-02-08,0.00466814375523069,1994-02-08,1994-02-11,4,"1994-02-08,1994-02-09,1994-02-10,1994-02-11"
1040,1994-02-09,0.004663636790783289,1994-02-09,1994-02-14,4,"1994-02-09,1994-02-10,1994-02-11,1994-02-14"
1041,1994-02-10,0.004952176140365529,1994-02-10,1994-02-15,4,"1994-02-10,1994-02-11,1994-02-14,1994-02-15"
1042,1994-02-11,0.0018945843814344287,1994-02-11,1994-02-16,4,"1994-02-11,1994-02-14,1994-02-15,1994-02-16"
1043,1994-02-14,0.0035655961812567556,1994-02-14,1994-02-17,4,"1994-02-14,1994-02-15,1994-02-16,1994-02-17"
1044,1994-02-15,0.004313922831440144,1994-02-15,1994-02-18,4,"1994-02-15,1994-02-16,1994-02-17,1994-02-18"
1045,1994-02-16,0.0055135401117089675,1994-02-16,1994-02-22,4,"1994-02-16,1994-02-17,1994-02-18,1994-02-22"
1046,1994-02-17,0.005489222175937311,1994-02-17,1994-02-23,4,"1994-02-17,1994-02-18,1994-02-22,1994-02-23"
1047,1994-02-18,0.007781905444046144,1994-02-18,1994-02-24,4,"1994-02-18,1994-02-22,1994-02-23,1994-02-24"
1048,1994-02-22,0.008111650335701659,1994-02-22,1994-02-25,4,"1994-02-22,1994-02-23,1994-02-24,1994-02-25"
1049,1994-02-23,0.006805353653717958,1994-02-23,1994-02-28,4,"1994-02-23,1994-02-24,1994-02-25,1994-02-28"
1050,1994-02-24,0.006951090191540085,1994-02-24,1994-03-01,4,"1994-02-24,1994-02-25,1994-02-28,1994-03-01"
1051,1994-02-25,0.0036902152814582796,1994-02-25,1994-03-02,4,"1994-02-25,1994-02-28,1994-03-01,1994-03-02"
1052,1994-02-28,0.00334926170429557,1994-02-28,1994-03-03,4,"1994-02-28,1994-03-01,1994-03-02,1994-03-03"
1053,1994-03-01,0.0037863892098500326,1994-03-01,1994-03-04,4,"1994-03-01,1994-03-02,1994-03-03,1994-03-04"
1054,1994-03-02,0.0033166418493285224,1994-03-02,1994-03-07,4,"1994-03-02,1994-03-03,1994-03-04,1994-03-07"
1055,1994-03-03,0.0036782813495956986,1994-03-03,1994-03-08,4,"1994-03-03,1994-03-04,1994-03-07,1994-03-08"
1056,1994-03-04,0.0026435200757100688,1994-03-04,1994-03-09,4,"1994-03-04,1994-03-07,1994-03-08,1994-03-09"
1057,1994-03-07,0.004413921323633643,1994-03-07,1994-03-10,4,"1994-03-07,1994-03-08,1994-03-09,1994-03-10"
1058,1994-03-08,0.004683526390531794,1994-03-08,1994-03-11,4,"1994-03-08,1994-03-09,1994-03-10,1994-03-11"
1059,1994-03-09,0.004600652173046637,1994-03-09,1994-03-14,4,"1994-03-09,1994-03-10,1994-03-11,1994-03-14"
1060,1994-03-10,0.004530392592127543,1994-03-10,1994-03-15,4,"1994-03-10,1994-03-11,1994-03-14,1994-03-15"
1061,1994-03-11,0.0025700541053267924,1994-03-11,1994-03-16,4,"1994-03-11,1994-03-14,1994-03-15,1994-03-16"
1062,1994-03-14,0.0021381201566839703,1994-03-14,1994-03-17,4,"1994-03-14,1994-03-15,1994-03-16,1994-03-17"
1063,1994-03-15,0.0023185623033029684,1994-03-15,1994-03-18,4,"1994-03-15,1994-03-16,1994-03-17,1994-03-18"
1064,1994-03-16,0.003937010761800843,1994-03-16,1994-03-21,4,"1994-03-16,1994-03-17,1994-03-18,1994-03-21"
1065,1994-03-17,0.0031295748662156717,1994-03-17,1994-03-22,4,"1994-03-17,1994-03-18,1994-03-21,1994-03-22"
1066,1994-03-18,0.002453505649087943,1994-03-18,1994-03-23,4,"1994-03-18,1994-03-21,1994-03-22,1994-03-23"
1067,1994-03-21,0.003881431865166372,1994-03-21,1994-03-24,4,"1994-03-21,1994-03-22,1994-03-23,1994-03-24"
1068,1994-03-22,0.004356443200069286,1994-03-22,1994-03-25,4,"1994-03-22,1994-03-23,1994-03-24,1994-03-25"
1069,1994-03-23,0.003797157278893512,1994-03-23,1994-03-28,4,"1994-03-23,1994-03-24,1994-03-25,1994-03-28"
1070,1994-03-24,0.005345180171769315,1994-03-24,1994-03-29,4,"1994-03-24,1994-03-25,1994-03-28,1994-03-29"
1071,1994-03-25,0.006087252049046649,1994-03-25,1994-03-30,4,"1994-03-25,1994-03-28,1994-03-29,1994-03-30"
1072,1994-03-28,0.007757904362792571,1994-03-28,1994-03-31,4,"1994-03-28,1994-03-29,1994-03-30,1994-03-31"
1073,1994-03-29,0.006982478711810006,1994-03-29,1994-04-04,4,"1994-03-29,1994-03-30,1994-03-31,1994-04-04"
1074,1994-03-30,0.014806564518184457,1994-03-30,1994-04-05,4,"1994-03-30,1994-03-31,1994-04-04,1994-04-05"
1075,1994-03-31,0.012800002419521454,1994-03-31,1994-04-06,4,"1994-03-31,1994-04-04,1994-04-05,1994-04-06"
1076,1994-04-04,0.012933608869957947,1994-04-04,1994-04-07,4,"1994-04-04,1994-04-05,1994-04-06,1994-04-07"
1077,1994-04-05,0.010742518869263107,1994-04-05,1994-04-08,4,"1994-04-05,1994-04-06,1994-04-07,1994-04-08"
1078,1994-04-06,0.006002216195542586,1994-04-06,1994-04-11,4,"1994-04-06,1994-04-07,1994-04-08,1994-04-11"
1079,1994-04-07,0.006550469127959331,1994-04-07,1994-04-12,4,"1994-04-07,1994-04-08,1994-04-11,1994-04-12"
1080,1994-04-08,0.005393592007768674,1994-04-08,1994-04-13,4,"1994-04-08,1994-04-11,1994-04-12,1994-04-13"
1081,1994-04-11,0.00423720656548526,1994-04-11,1994-04-14,4,"1994-04-11,1994-04-12,1994-04-13,1994-04-14"
1082,1994-04-12,0.002110020099290222,1994-04-12,1994-04-15,4,"1994-04-12,1994-04-13,1994-04-14,1994-04-15"
1083,1994-04-13,0.0034587687881633333,1994-04-13,1994-04-18,4,"1994-04-13,1994-04-14,1994-04-15,1994-04-18"
1084,1994-04-14,0.0036798748837220804,1994-04-14,1994-04-19,4,"1994-04-14,1994-04-15,1994-04-18,1994-04-19"
1085,1994-04-15,0.0034750375208331963,1994-04-15,1994-04-20,4,"1994-04-15,1994-04-18,1994-04-19,1994-04-20"
1086,1994-04-18,0.008685785581762511,1994-04-18,1994-04-21,4,"1994-04-18,1994-04-19,1994-04-20,1994-04-21"
1087,1994-04-19,0.007228198549247679,1994-04-19,1994-04-22,4,"1994-04-19,1994-04-20,1994-04-21,1994-04-22"
1088,1994-04-20,0.007741993062644071,1994-04-20,1994-04-25,4,"1994-04-20,1994-04-21,1994-04-22,1994-04-25"
1089,1994-04-21,0.007868259399178923,1994-04-21,1994-04-26,4,"1994-04-21,1994-04-22,1994-04-25,1994-04-26"
1090,1994-04-22,0.006600672696578345,1994-04-22,1994-04-28,4,"1994-04-22,1994-04-25,1994-04-26,1994-04-28"
1091,1994-04-25,0.0065422820828400854,1994-04-25,1994-04-29,4,"1994-04-25,1994-04-26,1994-04-28,1994-04-29"
1092,1994-04-26,0.004436132398060607,1994-04-26,1994-05-02,4,"1994-04-26,1994-04-28,1994-04-29,1994-05-02"
1093,1994-04-28,0.004292767348768526,1994-04-28,1994-05-03,4,"1994-04-28,1994-04-29,1994-05-02,1994-05-03"
1094,1994-04-29,0.003113596698019795,1994-04-29,1994-05-04,4,"1994-04-29,1994-05-02,1994-05-03,1994-05-04"
1095,1994-05-02,0.0027718650971862583,1994-05-02,1994-05-05,4,"1994-05-02,1994-05-03,1994-05-04,1994-05-05"
1096,1994-05-03,0.0030533573745762125,1994-05-03,1994-05-06,4,"1994-05-03,1994-05-04,1994-05-05,1994-05-06"
1097,1994-05-04,0.004471831405749102,1994-05-04,1994-05-09,4,"1994-05-04,1994-05-05,1994-05-06,1994-05-09"
1098,1994-05-05,0.007759407192166455,1994-05-05,1994-05-10,4,"1994-05-05,1994-05-06,1994-05-09,1994-05-10"
1099,1994-05-06,0.008092320291971546,1994-05-06,1994-05-11,4,"1994-05-06,1994-05-09,1994-05-10,1994-05-11"
1100,1994-05-09,0.009045171265764968,1994-05-09,1994-05-12,4,"1994-05-09,1994-05-10,1994-05-11,1994-05-12"
1101,1994-05-10,0.006964150442246001,1994-05-10,1994-05-13,4,"1994-05-10,1994-05-11,1994-05-12,1994-05-13"
1102,1994-05-11,0.0056803552579938275,1994-05-11,1994-05-16,4,"1994-05-11,1994-05-12,1994-05-13,1994-05-16"
1103,1994-05-12,0.004103415680627978,1994-05-12,1994-05-17,4,"1994-05-12,1994-05-13,1994-05-16,1994-05-17"
1104,1994-05-13,0.004681271795576912,1994-05-13,1994-05-18,4,"1994-05-13,1994-05-16,1994-05-17,1994-05-18"
1105,1994-05-16,0.003935374290953861,1994-05-16,1994-05-19,4,"1994-05-16,1994-05-17,1994-05-18,1994-05-19"
1106,1994-05-17,0.005614812237374899,1994-05-17,1994-05-20,4,"1994-05-17,1994-05-18,1994-05-19,1994-05-20"
1107,1994-05-18,0.00585664493116993,1994-05-18,1994-05-23,4,"1994-05-18,1994-05-19,1994-05-20,1994-05-23"
1108,1994-05-19,0.0043219084583349535,1994-05-19,1994-05-24,4,"1994-05-19,1994-05-20,1994-05-23,1994-05-24"
1109,1994-05-20,0.0035099633599641558,1994-05-20,1994-05-25,4,"1994-05-20,1994-05-23,1994-05-24,1994-05-25"
1110,1994-05-23,0.0029493609052761503,1994-05-23,1994-05-26,4,"1994-05-23,1994-05-24,1994-05-25,1994-05-26"
1111,1994-05-24,0.0011935314434077663,1994-05-24,1994-05-27,4,"1994-05-24,1994-05-25,1994-05-26,1994-05-27"
1112,1994-05-25,0.0018401691958527375,1994-05-25,1994-05-31,4,"1994-05-25,1994-05-26,1994-05-27,1994-05-31"
1113,1994-05-26,0.0015948337283226113,1994-05-26,1994-06-01,4,"1994-05-26,1994-05-27,1994-05-31,1994-06-01"
1114,1994-05-27,0.0015235413243687053,1994-05-27,1994-06-02,4,"1994-05-27,1994-05-31,1994-06-01,1994-06-02"
1115,1994-05-31,0.0027020818569308013,1994-05-31,1994-06-03,4,"1994-05-31,1994-06-01,1994-06-02,1994-06-03"
1116,1994-06-01,0.0030001834243386554,1994-06-01,1994-06-06,4,"1994-06-01,1994-06-02,1994-06-03,1994-06-06"
1117,1994-06-02,0.003100578196689172,1994-06-02,1994-06-07,4,"1994-06-02,1994-06-03,1994-06-06,1994-06-07"
1118,1994-06-03,0.0033457018195153882,1994-06-03,1994-06-08,4,"1994-06-03,1994-06-06,1994-06-07,1994-06-08"
1119,1994-06-06,0.0017876533087111618,1994-06-06,1994-06-09,4,"1994-06-06,1994-06-07,1994-06-08,1994-06-09"
1120,1994-06-07,0.0019087618823293085,1994-06-07,1994-06-10,4,"1994-06-07,1994-06-08,1994-06-09,1994-06-10"
1121,1994-06-08,0.0017623338382623322,1994-06-08,1994-06-13,4,"1994-06-08,1994-06-09,1994-06-10,1994-06-13"
1122,1994-06-09,0.002463860411678864,1994-06-09,1994-06-14,4,"1994-06-09,1994-06-10,1994-06-13,1994-06-14"
1123,1994-06-10,0.003885577501828794,1994-06-10,1994-06-15,4,"1994-06-10,1994-06-13,1994-06-14,1994-06-15"
1124,1994-06-13,0.003933270618428341,1994-06-13,1994-06-16,4,"1994-06-13,1994-06-14,1994-06-15,1994-06-16"
1125,1994-06-14,0.005698278465909507,1994-06-14,1994-06-17,4,"1994-06-14,1994-06-15,1994-06-16,1994-06-17"
1126,1994-06-15,0.0040476475011899165,1994-06-15,1994-06-20,4,"1994-06-15,1994-06-16,1994-06-17,1994-06-20"
1127,1994-06-16,0.0046686161615522295,1994-06-16,1994-06-21,4,"1994-06-16,1994-06-17,1994-06-20,1994-06-21"
1128,1994-06-17,0.005041824857318663,1994-06-17,1994-06-22,4,"1994-06-17,1994-06-20,1994-06-21,1994-06-22"
1129,1994-06-20,0.005055744421393281,1994-06-20,1994-06-23,4,"1994-06-20,1994-06-21,1994-06-22,1994-06-23"
1130,1994-06-21,0.0068424365042742625,1994-06-21,1994-06-24,4,"1994-06-21,1994-06-22,1994-06-23,1994-06-24"
1131,1994-06-22,0.009850854425859224,1994-06-22,1994-06-27,4,"1994-06-22,1994-06-23,1994-06-24,1994-06-27"
1132,1994-06-23,0.009248531480694686,1994-06-23,1994-06-28,4,"1994-06-23,1994-06-24,1994-06-27,1994-06-28"
1133,1994-06-24,0.009376205926913713,1994-06-24,1994-06-29,4,"1994-06-24,1994-06-27,1994-06-28,1994-06-29"
1134,1994-06-27,0.006689799654124946,1994-06-27,1994-06-30,4,"1994-06-27,1994-06-28,1994-06-29,1994-06-30"
1135,1994-06-28,0.004860858758632918,1994-06-28,1994-07-01,4,"1994-06-28,1994-06-29,1994-06-30,1994-07-01"
1136,1994-06-29,0.004684118765686681,1994-06-29,1994-07-05,4,"1994-06-29,1994-06-30,1994-07-01,1994-07-05"
1137,1994-06-30,0.004272751377185361,1994-06-30,1994-07-06,4,"1994-06-30,1994-07-01,1994-07-05,1994-07-06"
1138,1994-07-01,0.002356039679438346,1994-07-01,1994-07-07,4,"1994-07-01,1994-07-05,1994-07-06,1994-07-07"
1139,1994-07-05,0.0020923131725999935,1994-07-05,1994-07-08,4,"1994-07-05,1994-07-06,1994-07-07,1994-07-08"
1140,1994-07-06,0.00313155346424864,1994-07-06,1994-07-11,4,"1994-07-06,1994-07-07,1994-07-08,1994-07-11"
1141,1994-07-07,0.00311112196825397,1994-07-07,1994-07-12,4,"1994-07-07,1994-07-08,1994-07-11,1994-07-12"
1142,1994-07-08,0.002252327208262929,1994-07-08,1994-07-13,4,"1994-07-08,1994-07-11,1994-07-12,1994-07-13"
1143,1994-07-11,0.005106679976139242,1994-07-11,1994-07-14,4,"1994-07-11,1994-07-12,1994-07-13,1994-07-14"
1144,1994-07-12,0.004109608960564846,1994-07-12,1994-07-15,4,"1994-07-12,1994-07-13,1994-07-14,1994-07-15"
1145,1994-07-13,0.0037554619000128853,1994-07-13,1994-07-18,4,"1994-07-13,1994-07-14,1994-07-15,1994-07-18"
1146,1994-07-14,0.004834161921282395,1994-07-14,1994-07-19,4,"1994-07-14,1994-07-15,1994-07-18,1994-07-19"
1147,1994-07-15,0.003028426918597249,1994-07-15,1994-07-20,4,"1994-07-15,1994-07-18,1994-07-19,1994-07-20"
1148,1994-07-18,0.0031037053731718736,1994-07-18,1994-07-21,4,"1994-07-18,1994-07-19,1994-07-20,1994-07-21"
1149,1994-07-19,0.002962250141896465,1994-07-19,1994-07-22,4,"1994-07-19,1994-07-20,1994-07-21,1994-07-22"
1150,1994-07-20,0.0030799734968579044,1994-07-20,1994-07-25,4,"1994-07-20,1994-07-21,1994-07-22,1994-07-25"
1151,1994-07-21,0.0017791342361193944,1994-07-21,1994-07-26,4,"1994-07-21,1994-07-22,1994-07-25,1994-07-26"
1152,1994-07-22,0.0019063322956724314,1994-07-22,1994-07-27,4,"1994-07-22,1994-07-25,1994-07-26,1994-07-27"
1153,1994-07-25,0.002516819244387333,1994-07-25,1994-07-28,4,"1994-07-25,1994-07-26,1994-07-27,1994-07-28"
1154,1994-07-26,0.004443825597692803,1994-07-26,1994-07-29,4,"1994-07-26,1994-07-27,1994-07-28,1994-07-29"
1155,1994-07-27,0.0038754261779672455,1994-07-27,1994-08-01,4,"1994-07-27,1994-07-28,1994-07-29,1994-08-01"
1156,1994-07-28,0.003585875620111846,1994-07-28,1994-08-02,4,"1994-07-28,1994-07-29,1994-08-01,1994-08-02"
1157,1994-07-29,0.0037739313848000485,1994-07-29,1994-08-03,4,"1994-07-29,1994-08-01,1994-08-02,1994-08-03"
1158,1994-08-01,0.004559064061901903,1994-08-01,1994-08-04,4,"1994-08-01,1994-08-02,1994-08-03,1994-08-04"
1159,1994-08-02,0.003029271118502343,1994-08-02,1994-08-05,4,"1994-08-02,1994-08-03,1994-08-04,1994-08-05"
1160,1994-08-03,0.003492513531086406,1994-08-03,1994-08-08,4,"1994-08-03,1994-08-04,1994-08-05,1994-08-08"
1161,1994-08-04,0.0031705923030409715,1994-08-04,1994-08-09,4,"1994-08-04,1994-08-05,1994-08-08,1994-08-09"
1162,1994-08-05,0.0028232842091515287,1994-08-05,1994-08-10,4,"1994-08-05,1994-08-08,1994-08-09,1994-08-10"
1163,1994-08-08,0.002951819581888695,1994-08-08,1994-08-11,4,"1994-08-08,1994-08-09,1994-08-10,1994-08-11"
1164,1994-08-09,0.0039016581698511897,1994-08-09,1994-08-12,4,"1994-08-09,1994-08-10,1994-08-11,1994-08-12"
1165,1994-08-10,0.004183458744705097,1994-08-10,1994-08-15,4,"1994-08-10,1994-08-11,1994-08-12,1994-08-15"
1166,1994-08-11,0.004957685408702062,1994-08-11,1994-08-16,4,"1994-08-11,1994-08-12,1994-08-15,1994-08-16"
1167,1994-08-12,0.004171265341252843,1994-08-12,1994-08-17,4,"1994-08-12,1994-08-15,1994-08-16,1994-08-17"
1168,1994-08-15,0.004627185008671962,1994-08-15,1994-08-18,4,"1994-08-15,1994-08-16,1994-08-17,1994-08-18"
1169,1994-08-16,0.0044456777373949085,1994-08-16,1994-08-19,4,"1994-08-16,1994-08-17,1994-08-18,1994-08-19"
1170,1994-08-17,0.0020743299859238185,1994-08-17,1994-08-22,4,"1994-08-17,1994-08-18,1994-08-19,1994-08-22"
1171,1994-08-18,0.0034036992248057587,1994-08-18,1994-08-23,4,"1994-08-18,1994-08-19,1994-08-22,1994-08-23"
1172,1994-08-19,0.0046230289870866775,1994-08-19,1994-08-24,4,"1994-08-19,1994-08-22,1994-08-23,1994-08-24"
1173,1994-08-22,0.005140714534294539,1994-08-22,1994-08-25,4,"1994-08-22,1994-08-23,1994-08-24,1994-08-25"
1174,1994-08-23,0.005485143997299073,1994-08-23,1994-08-26,4,"1994-08-23,1994-08-24,1994-08-25,1994-08-26"
1175,1994-08-24,0.00585335808177196,1994-08-24,1994-08-29,4,"1994-08-24,1994-08-25,1994-08-26,1994-08-29"
1176,1994-08-25,0.005282825875529341,1994-08-25,1994-08-30,4,"1994-08-25,1994-08-26,1994-08-29,1994-08-30"
1177,1994-08-26,0.005047358267439591,1994-08-26,1994-08-31,4,"1994-08-26,1994-08-29,1994-08-30,1994-08-31"
1178,1994-08-29,0.003026269920291783,1994-08-29,1994-09-01,4,"1994-08-29,1994-08-30,1994-08-31,1994-09-01"
1179,1994-08-30,0.0032480619577457174,1994-08-30,1994-09-02,4,"1994-08-30,1994-08-31,1994-09-01,1994-09-02"
1180,1994-08-31,0.002758927888381129,1994-08-31,1994-09-06,4,"1994-08-31,1994-09-01,1994-09-02,1994-09-06"
1181,1994-09-01,0.0027142130611854465,1994-09-01,1994-09-07,4,"1994-09-01,1994-09-02,1994-09-06,1994-09-07"
1182,1994-09-02,0.0035345238392680348,1994-09-02,1994-09-08,4,"1994-09-02,1994-09-06,1994-09-07,1994-09-08"
1183,1994-09-06,0.005680220290098171,1994-09-06,1994-09-09,4,"1994-09-06,1994-09-07,1994-09-08,1994-09-09"
1184,1994-09-07,0.0054008744942224355,1994-09-07,1994-09-12,4,"1994-09-07,1994-09-08,1994-09-09,1994-09-12"
1185,1994-09-08,0.005959056179051937,1994-09-08,1994-09-13,4,"1994-09-08,1994-09-09,1994-09-12,1994-09-13"
1186,1994-09-09,0.005467848808453369,1994-09-09,1994-09-14,4,"1994-09-09,1994-09-12,1994-09-13,1994-09-14"
1187,1994-09-12,0.006075792489001508,1994-09-12,1994-09-15,4,"1994-09-12,1994-09-13,1994-09-14,1994-09-15"
1188,1994-09-13,0.007228157233573599,1994-09-13,1994-09-16,4,"1994-09-13,1994-09-14,1994-09-15,1994-09-16"
1189,1994-09-14,0.007375437975822302,1994-09-14,1994-09-19,4,"1994-09-14,1994-09-15,1994-09-16,1994-09-19"
1190,1994-09-15,0.010513059816048274,1994-09-15,1994-09-20,4,"1994-09-15,1994-09-16,1994-09-19,1994-09-20"
1191,1994-09-16,0.005601207567630524,1994-09-16,1994-09-21,4,"1994-09-16,1994-09-19,1994-09-20,1994-09-21"
1192,1994-09-19,0.006274152428496824,1994-09-19,1994-09-22,4,"1994-09-19,1994-09-20,1994-09-21,1994-09-22"
1193,1994-09-20,0.0058809628810691005,1994-09-20,1994-09-23,4,"1994-09-20,1994-09-21,1994-09-22,1994-09-23"
1194,1994-09-21,0.0026865733172741334,1994-09-21,1994-09-26,4,"1994-09-21,1994-09-22,1994-09-23,1994-09-26"
1195,1994-09-22,0.0025163221504208035,1994-09-22,1994-09-27,4,"1994-09-22,1994-09-23,1994-09-26,1994-09-27"
1196,1994-09-23,0.0033935688792233044,1994-09-23,1994-09-28,4,"1994-09-23,1994-09-26,1994-09-27,1994-09-28"
1197,1994-09-26,0.004252780392408417,1994-09-26,1994-09-29,4,"1994-09-26,1994-09-27,1994-09-28,1994-09-29"
1198,1994-09-27,0.004199974969885891,1994-09-27,1994-09-30,4,"1994-09-27,1994-09-28,1994-09-29,1994-09-30"
1199,1994-09-28,0.004225484681732617,1994-09-28,1994-10-03,4,"1994-09-28,1994-09-29,1994-09-30,1994-10-03"
1200,1994-09-29,0.006214490538404735,1994-09-29,1994-10-04,4,"1994-09-29,1994-09-30,1994-10-03,1994-10-04"
1201,1994-09-30,0.0063667186522778545,1994-09-30,1994-10-05,4,"1994-09-30,1994-10-03,1994-10-04,1994-10-05"
1202,1994-10-03,0.005730378907140738,1994-10-03,1994-10-06,4,"1994-10-03,1994-10-04,1994-10-05,1994-10-06"
1203,1994-10-04,0.007717603354592794,1994-10-04,1994-10-07,4,"1994-10-04,1994-10-05,1994-10-06,1994-10-07"
1204,1994-10-05,0.004974663183851912,1994-10-05,1994-10-10,4,"1994-10-05,1994-10-06,1994-10-07,1994-10-10"
1205,1994-10-06,0.006202470640386781,1994-10-06,1994-10-11,4,"1994-10-06,1994-10-07,1994-10-10,1994-10-11"
1206,1994-10-07,0.005512192714306545,1994-10-07,1994-10-12,4,"1994-10-07,1994-10-10,1994-10-11,1994-10-12"
1207,1994-10-10,0.0056020131088493595,1994-10-10,1994-10-13,4,"1994-10-10,1994-10-11,1994-10-12,1994-10-13"
1208,1994-10-11,0.0057093078631324625,1994-10-11,1994-10-14,4,"1994-10-11,1994-10-12,1994-10-13,1994-10-14"
1209,1994-10-12,0.002262410960020376,1994-10-12,1994-10-17,4,"1994-10-12,1994-10-13,1994-10-14,1994-10-17"
1210,1994-10-13,0.0029408011252055276,1994-10-13,1994-10-18,4,"1994-10-13,1994-10-14,1994-10-17,1994-10-18"
1211,1994-10-14,0.0031833546365165914,1994-10-14,1994-10-19,4,"1994-10-14,1994-10-17,1994-10-18,1994-10-19"
1212,1994-10-17,0.004704004377473721,1994-10-17,1994-10-20,4,"1994-10-17,1994-10-18,1994-10-19,1994-10-20"
1213,1994-10-18,0.004770262441869045,1994-10-18,1994-10-21,4,"1994-10-18,1994-10-19,1994-10-20,1994-10-21"
1214,1994-10-19,0.005590029427007764,1994-10-19,1994-10-24,4,"1994-10-19,1994-10-20,1994-10-21,1994-10-24"
